Date,Open,High,Low,Close,Adj Close,Volume
2019-02-05,103.629997,104.180000,103.410004,103.900002,102.462357,2231200
2019-02-06,103.849998,105.080002,103.430000,104.959999,103.507683,3595700
2019-02-07,104.059998,104.779999,103.610001,104.389999,102.945557,3857300
2019-02-08,103.730003,104.519997,103.430000,104.519997,103.073761,2581900
2019-02-11,104.949997,105.559998,104.809998,105.410004,103.951454,2653800
2019-02-12,106.269997,107.430000,106.260002,107.000000,105.519447,3238600
2019-02-13,107.550003,108.470001,107.099998,107.559998,106.071701,3182100
2019-02-14,107.000000,107.360001,106.239998,106.620003,105.144714,2385900
2019-02-15,107.330002,108.089996,107.120003,107.379997,105.894196,3882300
2019-02-19,107.050003,107.230003,106.459999,106.500000,105.026367,3692800
2019-02-20,106.570000,107.180000,106.500000,106.779999,105.302498,3840800
2019-02-21,106.739998,106.949997,106.320000,106.610001,105.134842,2566500
2019-02-22,106.980003,107.550003,106.860001,107.440002,105.953369,2256400
2019-02-25,108.199997,108.849998,106.760002,106.930000,105.450424,3333500
2019-02-26,106.669998,107.620003,106.419998,106.940002,105.460289,2548100
2019-02-27,106.860001,107.629997,106.599998,107.419998,105.933632,2393500
2019-02-28,107.220001,108.449997,107.080002,107.739998,106.249207,3295800
2019-03-01,108.400002,109.650002,108.199997,108.900002,107.393166,2682000
2019-03-04,109.559998,110.089996,107.760002,109.000000,107.491776,4053200
2019-03-05,109.029999,109.320000,108.320000,108.849998,107.343842,2685700
2019-03-06,108.930000,109.449997,108.849998,108.980003,107.472061,2616000
2019-03-07,108.559998,108.629997,107.400002,107.860001,106.367554,3048200
2019-03-08,106.790001,108.070000,106.680000,107.980003,106.485901,2077100
2019-03-11,109.010002,109.790001,108.709999,109.559998,108.044022,3289200
2019-03-12,109.739998,111.279999,109.739998,110.430000,108.901985,3917500
2019-03-13,110.180000,112.260002,110.089996,112.139999,110.588333,4234100
2019-03-14,112.389999,112.779999,111.879997,112.349998,110.795425,3538200
2019-03-15,112.709999,113.769997,112.529999,113.519997,111.949234,4780400
2019-03-18,113.750000,114.250000,113.160004,113.550003,111.978828,2918000
2019-03-19,114.220001,114.220001,112.360001,112.669998,111.110992,3331300
2019-03-20,112.260002,112.459999,110.599998,110.769997,109.237274,3309300
2019-03-21,109.959999,112.180000,109.809998,111.820000,110.272751,3111000
2019-03-22,111.290001,111.320000,108.989998,109.459999,107.945412,3737400
2019-03-25,109.279999,110.070000,108.190002,109.040001,107.531227,3596200
2019-03-26,109.989998,110.400002,109.050003,109.500000,107.984856,2844500
2019-03-27,109.680000,110.000000,108.330002,108.980003,107.472061,3346600
2019-03-28,109.419998,109.879997,108.489998,109.160004,107.649567,2693300
2019-03-29,110.199997,110.389999,109.139999,109.300003,107.787628,4891000
2019-04-01,110.290001,112.040001,110.080002,111.699997,110.154411,5125100
2019-04-02,111.209999,111.459999,110.370003,111.000000,109.464104,3568900
2019-04-03,111.820000,112.000000,110.349998,110.559998,109.030190,3719700
2019-04-04,110.330002,110.489998,109.500000,110.120003,108.980713,3619600
2019-04-05,110.480003,111.209999,110.440002,110.959999,109.812019,4553700
2019-04-08,110.620003,110.849998,109.919998,110.699997,109.554710,4776600
2019-04-09,110.010002,110.309998,109.489998,109.849998,108.713501,2869300
2019-04-10,110.480003,110.480003,109.519997,110.160004,109.020302,2650100
2019-04-11,110.510002,110.830002,109.419998,109.849998,108.713501,2320600
2019-04-12,110.820000,111.550003,110.449997,110.910004,109.762543,2316900
2019-04-15,110.919998,110.970001,110.250000,110.529999,109.386467,2285000
2019-04-16,111.089996,112.029999,110.940002,111.879997,110.722504,2523400
2019-04-17,112.309998,112.500000,111.250000,111.760002,110.603745,3799900
2019-04-18,112.250000,114.139999,111.320000,113.669998,112.493980,6186800
2019-04-22,112.599998,113.400002,112.230003,112.330002,111.167847,3174400
2019-04-23,112.190002,114.040001,111.900002,113.970001,112.790886,3342800
2019-04-24,113.760002,114.360001,113.419998,114.019997,112.840355,2318400
2019-04-25,115.230003,116.500000,114.750000,115.879997,114.681114,4595200
2019-04-26,116.589996,117.730003,116.099998,117.599998,116.383324,2990600
2019-04-29,117.239998,117.699997,116.550003,116.760002,115.552025,3096200
2019-04-30,117.050003,117.349998,116.099998,117.230003,116.017159,2387900
2019-05-01,117.470001,117.989998,116.930000,117.019997,115.809326,2450500
2019-05-02,117.000000,117.650002,116.680000,117.250000,116.036949,2538700
2019-05-03,117.910004,119.660004,117.629997,119.349998,118.115227,2856200
2019-05-06,117.260002,119.610001,117.050003,119.339996,118.105324,2924500
2019-05-07,118.370003,119.410004,117.650002,118.220001,116.996910,6282300
2019-05-08,117.830002,118.110001,116.820000,117.489998,116.274467,4037500
2019-05-09,116.150002,117.290001,115.379997,117.260002,116.046852,3219600
2019-05-10,116.860001,118.930000,116.209999,118.459999,117.234421,2435100
2019-05-13,116.419998,116.889999,115.620003,115.900002,114.700912,3710600
2019-05-14,115.980003,117.730003,115.769997,117.010002,115.799438,2460700
2019-05-15,116.180000,118.230003,115.900002,117.660004,116.442703,2711400
2019-05-16,117.769997,120.349998,117.769997,119.839996,118.600143,4143500
2019-05-17,118.599998,119.589996,118.510002,119.070000,117.838120,5273600
2019-05-20,118.830002,120.320000,118.620003,119.839996,118.600143,2765600
2019-05-21,120.470001,120.680000,119.339996,120.550003,119.302803,3369100
2019-05-22,120.360001,120.879997,119.440002,120.010002,118.768394,2941100
2019-05-23,119.269997,119.400002,117.849998,118.430000,117.204735,3290200
2019-05-24,119.209999,119.629997,118.330002,119.510002,118.273560,2240100
2019-05-28,119.360001,120.120003,118.169998,118.169998,116.947426,2550300
2019-05-29,117.709999,117.809998,116.040001,117.010002,115.799438,2553900
2019-05-30,117.209999,117.309998,116.110001,116.739998,115.532227,1882400
2019-05-31,115.769997,115.980003,114.559998,114.709999,113.523232,2969100
2019-06-03,114.559998,115.930000,113.889999,114.620003,113.434151,2968500
2019-06-04,115.709999,117.000000,115.230003,116.849998,115.641083,3043200
2019-06-05,117.180000,118.239998,117.010002,118.120003,116.897949,2568100
2019-06-06,118.419998,119.639999,118.150002,119.430000,118.194389,2209300
2019-06-07,119.870003,121.360001,119.559998,121.110001,119.857010,2481800
2019-06-10,121.599998,123.449997,121.410004,122.660004,121.390984,3453700
2019-06-11,123.550003,124.739998,123.080002,123.230003,121.955078,3303800
2019-06-12,122.919998,123.190002,121.589996,122.029999,120.767487,2685700
2019-06-13,122.089996,122.699997,121.419998,121.860001,120.599258,2343900
2019-06-14,122.010002,122.610001,120.940002,122.000000,120.737808,2483800
2019-06-17,122.239998,122.239998,121.300003,121.449997,120.193489,2094200
2019-06-18,122.809998,125.050003,122.209999,123.430000,122.153008,2729200
2019-06-19,124.239998,124.919998,123.680000,124.680000,123.390076,2951700
2019-06-20,125.690002,126.400002,124.470001,124.919998,123.627594,3303200
2019-06-21,125.199997,126.309998,124.559998,124.730003,123.439560,5703800
2019-06-24,124.980003,125.419998,124.010002,124.139999,122.855659,2680900
2019-06-25,124.269997,124.570000,123.040001,123.160004,121.885811,2387800
2019-06-26,123.180000,124.000000,123.029999,123.589996,122.311348,1902500
2019-06-27,123.690002,124.410004,123.559998,123.940002,122.657738,1504300
2019-06-28,124.290001,124.550003,123.199997,123.440002,122.162910,4338900
2019-07-01,125.300003,126.400002,124.550003,124.919998,123.627594,4023500
2019-07-02,124.779999,125.330002,124.599998,125.099998,123.805725,4076100
2019-07-03,125.209999,126.050003,124.940002,125.860001,124.947395,3714300
2019-07-05,126.129997,126.190002,124.309998,125.400002,124.490730,3731500
2019-07-08,124.989998,125.230003,124.639999,124.849998,123.944710,3332000
2019-07-09,124.269997,126.040001,124.180000,125.900002,124.987106,2237100
2019-07-10,126.699997,128.419998,126.699997,126.889999,125.969925,2733800
2019-07-11,126.980003,127.690002,126.440002,127.279999,126.357094,2928100
2019-07-12,127.550003,128.000000,126.870003,127.959999,127.032166,1639400
2019-07-15,128.250000,128.679993,127.760002,128.570007,127.637749,2355700
2019-07-16,129.220001,129.339996,127.800003,128.059998,127.131439,2734000
2019-07-17,128.020004,128.639999,127.010002,127.080002,126.158554,2248900
2019-07-18,126.690002,129.089996,126.660004,128.399994,127.468971,3528400
2019-07-19,126.800003,128.000000,123.800003,124.820000,123.914932,7819000
2019-07-22,124.750000,126.010002,124.699997,126.000000,125.086372,4839700
2019-07-23,126.379997,128.979996,126.360001,128.199997,127.270416,4055100
2019-07-24,127.709999,128.220001,126.790001,127.949997,127.022240,3628300
2019-07-25,127.809998,128.190002,126.500000,127.150002,126.228043,2663500
2019-07-26,127.089996,127.559998,126.300003,126.779999,125.860718,4236200
2019-07-29,126.910004,127.459999,126.540001,127.190002,126.267754,1829500
2019-07-30,126.570000,126.910004,126.300003,126.470001,125.552971,1575400
2019-07-31,126.529999,126.589996,123.620003,124.370003,123.468193,3221000
2019-08-01,123.769997,126.129997,123.519997,124.089996,123.190224,4489800
2019-08-02,123.919998,124.910004,123.080002,124.309998,123.408630,3200100
2019-08-05,122.459999,123.080002,120.160004,120.720001,119.844666,5876200
2019-08-06,121.059998,122.849998,120.870003,122.550003,121.661392,3497000
2019-08-07,120.919998,123.849998,120.220001,123.540001,122.644211,3170800
2019-08-08,123.849998,125.699997,123.699997,125.290001,124.381523,2976100
2019-08-09,125.580002,126.739998,124.720001,126.169998,125.255150,2138300
2019-08-12,124.989998,125.709999,123.800003,123.949997,123.051239,2638800
2019-08-13,123.860001,126.500000,122.510002,126.320000,125.404060,3175700
2019-08-14,124.349998,125.330002,122.129997,122.650002,121.760666,5626300
2019-08-15,122.650002,123.000000,121.139999,122.379997,121.492622,3031700
2019-08-16,123.500000,124.750000,122.690002,124.629997,123.726311,2343400
2019-08-19,126.099998,126.150002,124.339996,124.400002,123.497978,3286700
